CITY;STATE;CAPITAL;IBGE_RES_POP;IBGE_RES_POP_BRAS;IBGE_RES_POP_ESTR;IBGE_DU;IBGE_DU_URBAN;IBGE_DU_RURAL;IBGE_POP;IBGE_1;IBGE_1-4;IBGE_5-9;IBGE_10-14;IBGE_15-59;IBGE_60+;IBGE_PLANTED_AREA;IBGE_CROP_PRODUCTION_$;IDHM Ranking 2010;IDHM;IDHM_Renda;IDHM_Longevidade;IDHM_Educacao;LONG;LAT;ALT;PAY_TV;FIXED_PHONES;AREA;REGIAO_TUR;CATEGORIA_TUR;ESTIMATED_POP;RURAL_URBAN;GVA_AGROPEC;GVA_INDUSTRY;GVA_SERVICES;GVA_PUBLIC; GVA_TOTAL ;TAXES;GDP;POP_GDP;GDP_CAPITA;GVA_MAIN;MUN_EXPENDIT;COMP_TOT;COMP_A;COMP_B;COMP_C;COMP_D;COMP_E;COMP_F;COMP_G;COMP_H;COMP_I;COMP_J;COMP_K;COMP_L;COMP_M;COMP_N;COMP_O;COMP_P;COMP_Q;COMP_R;COMP_S;COMP_T;COMP_U;HOTELS;BEDS;Pr_Agencies;Pu_Agencies;Pr_Bank;Pu_Bank;Pr_Assets;Pu_Assets;Cars;Motorcycles;Wheeled_tractor;UBER;MAC;WAL-MART;POST_OFFICES
Barra Da Estiva;BA;0;21187;21187;0;5620;2875;2745;10379;188;680;947;993;6645;926;10150;42087;4757;0.575;0.566;0.717;0.469;-41.33169587;-13.62020456;1038.88;213;420;1,657.41;Chapada Diamantina;D;20813;Rural Adjacente;55957.49;12.01;97472.09;68640.35;234.08;11.3;245.37;22232;11036.96;Demais serviços;46355805;566;7;4;37;0;0;6;361;16;20;2;0;1;8;6;3;16;23;5;51;0;0;;;1;3;1;3;8872941;259123955;2640;3037;2;;;;2
Barra De Guabiraba;PE;0;12776;12766;10;3358;2997;361;11389;210;750;1123;1227;6922;1157;225;1975;4716;0.58;0.558;0.726;0.474;-35.66281889;-8.420935038;486.86;128;162;120.58;Serras E Artes De Pernambuco;E;14257;Urbano;7.28;4454.19;21768.43;56252.36;89754.98;3412.05;93167.03;14091;6611.81;Administração, defesa, educação e saúde públicas e seguridade social;28521165;84;6;0;13;0;0;0;46;1;1;0;0;0;1;4;4;2;1;2;3;0;0;;;;;;;;;901;770;0;;;;1
Barra De Santa Rosa;PB;0;14157;14157;0;4199;2528;1671;7944;130;519;725;745;4632;1193;4900;6549;5021;0.562;0.542;0.753;0.434;-36.05977264;-6.720252678;454.69;56;102;775.65;;;15268;Rural Adjacente;9127.17;3.28;28958.39;67.33;108702.94;5363.69;114066.63;15286;7462.16;Administração, defesa, educação e saúde públicas e seguridade social;30352448;108;3;0;3;0;0;3;65;1;1;2;1;0;1;3;4;3;2;0;16;0;0;;;;;;;;;943;877;0;;;;1
Barra De Santana;PB;0;8206;8206;0;2431;249;2182;886;20;50;77;88;512;139;338;145;4910;0.57;0.526;0.747;0.465;-35.99631408;-7.522833781;342.99;27;149;374.37;;;8249;Rural Adjacente;6911.71;2045.24;10419.68;38909.11;58285.73;1668.71;59.95;8245;7271.61;Administração, defesa, educação e saúde públicas e seguridade social;;28;0;0;4;0;1;0;9;1;0;0;1;0;1;2;2;1;0;0;6;0;0;;;;;;;;;468;536;0;;;;1
Barra De Santo Antônio;AL;0;14230;14230;0;3523;3301;222;12513;224;983;1300;1488;7637;881;2276;8311;5107;0.557;0.552;0.732;0.428;-35.5002981;-9.409278109;2.44;289;158;131.36;Costa Dos Corais;D;15792;Urbano;50.81;3977.96;48024.31;62.67;165482.51;5.71;171194.59;15909;10760.86;Administração, defesa, educação e saúde públicas e seguridade social;;85;2;0;2;0;2;3;44;2;12;0;0;1;1;5;3;3;2;0;3;0;0;2;51;;;;;;;868;834;0;;;;1
Barra De São Francisco;ES;0;40649;40605;44;12884;8590;4294;26216;394;1520;1951;2406;16845;3100;4602;42895;2376;0.68;0.673;0.815;0.58;-40.89039862;-18.75908905;201.95;607;3427;944.52;;;44315;Rural Adjacente;38428.96;209022.93;333275.07;182777.42;763.5;82151.27;845.66;44946;18814.93;Demais serviços;;1101;3;59;110;0;2;38;533;60;62;13;4;2;34;42;3;30;43;12;51;0;0;1;15;1;3;1;3;41968173;838872279;8666;10491;3;;;;9
Barra De São Miguel;AL;0;7574;7571;3;2021;1772;249;6394;101;461;559;696;4197;380;908;3132;3805;0.615;0.638;0.767;0.475;-35.90744987;-9.838998252;8.05;386;354;74.24;Lagoas E Mares Do Sul;C;8264;Rural Adjacente;17662;13120.56;79719.67;38999.47;149501.7;8435.5;157937.2;8336;18946.4;Demais serviços;28016208;165;1;0;1;0;2;14;43;4;32;2;4;6;8;25;2;7;2;3;9;0;0;1;34;;;;;;;794;682;0;;;;1
Barra De São Miguel;PB;0;5611;5611;0;1635;733;902;2359;52;139;206;213;1433;316;183;817;4812;0.57;0.584;0.728;0.44;-36.32153597;-7.752670626;488.69;15;46;595.21;;;5939;Rural Adjacente;6656.88;1414.28;7472.76;27.86;43400.93;1327.3;44728.23;5943;7526.2;Administração, defesa, educação e saúde públicas e seguridade social;14859497;23;0;1;1;0;0;0;9;0;0;0;0;0;0;1;2;5;0;0;4;0;0;;;;;;;;;197;217;0;;;;1
Barra Do Bugres;MT;0;31793;31756;37;9097;7801;1296;25923;455;1789;2318;2545;16911;1905;53516;272222;2126;0.693;0.684;0.818;0.595;-57.18640869;-15.06625794;180.53;1701;2611;5,981.57;Região Turística Das Nascentes;D;34619;Urbano;384076.47;288521.28;266144.28;181556.48;1120298.51;64391.88;1184690.38;33334;35540;Agricultura, inclusive apoio à agricultura e a pós colheita;72560850;532;16;4;44;0;4;23;255;38;27;1;2;0;19;25;4;23;21;3;23;0;0;;;1;2;1;2;39378786;478197391;4565;8292;1;;;;3
Barra Do Chapéu;SP;0;5244;5230;14;1571;477;1094;1544;24;103;152;172;938;155;1012;33203;2912;0.66;0.617;0.779;0.599;-49.02713914;-24.471426;773.93;273;205;405.68;Cavernas Da Mata Atlântica;E;5688;Rural Adjacente;40079.42;3.47;16787.9;20.22;80549.06;1216.27;81765.33;5619;14551.58;Agricultura, inclusive apoio à agricultura e a pós colheita;15308082;310;261;1;3;0;0;3;26;1;3;0;1;0;1;0;2;0;1;0;7;0;0;;;;;;;;;857;861;0;;;;1
Barra Do Choça;BA;0;34788;34775;13;9229;6066;3163;22392;338;1501;1949;2320;13728;2556;22893;87290;5192;0.551;0.563;0.77;0.386;-40.57637299;-14.86427304;874.57;305;334;765.15;;;32018;Intermediário Adjacente;196952.74;49166.79;125662.01;116908.68;488.69;13014.31;501704.53;34421;14575.54;Agricultura, inclusive apoio à agricultura e a pós colheita;;491;12;1;30;0;0;45;237;12;9;2;4;6;16;23;2;42;9;5;36;0;0;;;1;2;1;2;39338832;104536859;2097;1779;0;;;;2
Barra Do Corda;MA;0;82830;82830;0;21061;13794;7267;51565;919;3860;4953;5682;30699;5452;10925;9516;4005;0.606;0.585;0.763;0.498;-45.23901102;-5.5083395;152.52;474;818;5,190.34;Polo Serras Guajajara Timbira E Kanela;C;87794;Urbano;43608.75;32469.59;259438.41;230572.37;566089.13;35509.84;601.6;86662;6941.9;Administração, defesa, educação e saúde públicas e seguridade social;138358558;700;7;0;32;0;1;17;508;24;17;7;1;4;8;19;2;17;17;5;14;0;0;2;96;1;3;1;3;73728885;575821519;3124;23391;0;;;;1
Barra Do Garças;MT;0;56560;56526;34;17510;16652;858;49935;626;2443;3686;4311;33948;4921;36122;98851;587;0.748;0.738;0.817;0.693;-52.26032976;-15.88871145;309.16;4287;8413;9,079.29;Região Turística Portal Do Araguaia;B;60661;Urbano;107199.14;299262.35;850.16;316974.96;1573598.76;173786.24;1747384.99;58690;29773.13;Demais serviços;142489717;1699;30;3;98;0;5;54;815;92;110;24;19;24;93;78;6;75;55;18;100;0;0;2;170;2;5;2;3;157779707;1675504736;13859;22225;1;;;;5
Barra Do Guarita;RS;0;3089;3086;3;1012;451;561;1700;26;107;145;166;1055;201;2745;7039;929;0.73;0.696;0.845;0.672;-53.71441269;-27.18806996;189.74;16;63;62.87;Rota Do Yucumã;E;3238;Rural Adjacente;10887.2;1.72;10246.87;16644.77;39494.27;1270.48;40764.75;3245;12562.33;Administração, defesa, educação e saúde públicas e seguridade social;12144172;67;0;0;3;0;0;1;28;8;5;0;0;0;1;1;1;6;0;2;11;0;0;;;;;;;;;575;238;0;;;;1
Barra Do Jacaré;PR;0;2727;2727;0;869;590;279;1408;13;66;89;109;888;243;10921;33965;681;0.74;0.678;0.813;0.747;-50.18773676;-23.12059273;415.69;26;189;115.72;;;2781;Rural Adjacente;41564.87;9607.2;15429.82;15422.53;82024.42;3190.03;85.21;2825;30164.4;Agricultura, inclusive apoio à agricultura e a pós colheita;12610870;34;1;0;2;0;0;0;21;1;0;1;0;0;1;1;2;1;1;0;2;0;0;;;;;;;;;836;481;0;;;;1
Barra Do Mendes;BA;0;13987;13987;0;4120;1913;2207;6239;103;387;555;625;3715;854;2029;2574;3498;0.63;0.578;0.784;0.553;-42.05912842;-11.80882828;722.08;838;169;1,586.63;Chapada Diamantina;E;13900;Rural Adjacente;7.87;4356.63;33956.93;41397.43;87582.54;3170.4;90752.94;14570;6228.75;Administração, defesa, educação e saúde públicas e seguridade social;30076712;169;0;0;3;0;0;2;92;1;1;0;0;0;1;4;2;14;2;2;45;0;0;;;0;1;0;1;0;68286303;901;551;1;;;;3
Barra Do Ouro;TO;0;4123;4123;0;1017;544;473;2185;53;179;262;262;1265;164;2998;7051;4085;0.603;0.557;0.76;0.517;-47.68713497;-7.691766599;163.37;21;36;1,106.35;;;4549;Rural Adjacente;17673.24;1475.68;7.31;27.2;53663.05;1564.16;55227.21;4503;12264.54;Administração, defesa, educação e saúde públicas e seguridade social;;28;2;0;1;0;0;0;16;0;3;0;0;0;0;1;4;0;0;0;1;0;0;;;;;;;;;133;413;0;;;;1
Barra Do Piraí;RJ;0;94778;94745;33;30802;29914;888;91929;1062;4591;6305;7342;60257;12372;99;1020;945;0.733;0.723;0.819;0.665;-43.82845245;-22.46959629;361.83;7945;15501;584.61;Vale Do Café;B;99969;Urbano;45480.61;251637.64;913471.15;615180.25;1825769.65;159.65;1985418.79;97152;20436.21;Demais serviços;192528851;1718;10;2;137;0;6;81;705;73;173;22;8;12;69;127;5;80;75;21;112;0;0;3;299;5;2;3;2;606355405;566092335;23266;5748;6;;;;5
Barra Do Quaraí;RS;0;4012;3931;81;1220;827;393;2834;44;199;243;294;1771;283;24860;178706;2868;0.662;0.659;0.802;0.548;-57.55706032;-30.21107541;42.04;425;323;1,055.94;Fronteira;D;4202;Rural Adjacente;101983.29;7.8;32.11;24716.14;166608.64;7.74;174345.13;4212;41392.48;Agricultura, inclusive apoio à agricultura e a pós colheita;17508104;94;4;0;1;0;0;1;65;5;5;0;0;0;2;5;2;0;0;1;3;0;0;;;;;;;;;1101;192;1;;;;1
Barra Do Ribeiro;RS;0;12572;12572;0;4259;3129;1130;9234;107;468;682;799;5771;1407;17589;98061;2666;0.67;0.691;0.822;0.529;-51.3008736;-30.2926755;9.05;838;1062;729.38;Costa Doce;D;13423;Rural Adjacente;106299.6;26446.64;101079.62;54417.86;288243.71;25715.86;313959.58;13316;23577.62;Demais serviços;25215505;290;9;1;48;1;0;13;132;12;15;4;0;4;7;17;2;5;4;1;15;0;0;;;0;2;0;2;0;133933254;4060;1074;19;;;1;2
Barra Do Rio Azul;RS;0;2003;2003;0;621;151;470;403;7;15;20;27;260;74;2784;14049;1227;0.723;0.703;0.842;0.638;-52.41410495;-27.40875772;437.1;20;106;147.00;;;1726;Rural Adjacente;29.23;1530.82;6.68;11633.81;49080.49;1172.48;50252.97;1933;25997.4;Pecuária, inclusive apoio à pecuária;9834593;46;0;0;7;0;0;1;16;4;1;0;0;0;0;1;2;4;0;0;10;0;0;;;;;;;;;595;258;0;;;;1
Barra Do Rocha;BA;0;6313;6313;0;1819;1061;758;3791;50;278;338;340;2324;461;5306;7866;4708;0.58;0.585;0.705;0.465;-39.60138609;-14.21002925;121.44;31;89;214.41;;;5821;Rural Adjacente;19.2;5122.33;12115.54;24.13;60.56;1293.89;61857.31;6338;9759.75;Administração, defesa, educação e saúde públicas e seguridade social;;41;3;0;0;0;0;3;27;0;0;0;1;0;0;3;2;0;0;0;2;0;0;;;;;;;;;284;282;0;;;;1
Barra Do Turvo;SP;0;7729;7726;3;2412;979;1433;3128;64;209;294;350;1854;357;475;1501;3276;0.64;0.625;0.792;0.532;-48.50234345;-24.75938666;153.96;524;537;1,007.68;Cavernas Da Mata Atlântica;D;7687;Rural Adjacente;4141.11;4073.63;32074.54;34285.96;74575.25;5701.57;80276.81;7804;10286.62;Administração, defesa, educação e saúde públicas e seguridade social;23803677;86;5;0;2;0;0;5;43;4;13;0;1;1;2;1;2;0;2;0;5;0;0;;;1;0;1;0;35170600;0;921;421;0;;;;1
Barra Dos Coqueiros;SE;0;24976;24965;11;6858;5669;1189;19897;341;1369;1740;1995;13043;1409;866;2205;3146;0.649;0.647;0.776;0.545;-37.04124155;-10.90679925;2;889;962;92.27;Polo Costa Dos Coqueirais;D;29873;Urbano;3406.94;35659.77;142280.1;143625.69;324972.5;42713.14;367.69;29248;12571.31;Administração, defesa, educação e saúde públicas e seguridade social;82973413;278;4;0;20;0;0;21;84;21;28;9;2;6;9;30;6;9;5;6;18;0;0;;;0;2;0;2;0;197951373;3870;2420;4;;;;1
Barra Funda;RS;0;2367;2367;0;719;477;242;1516;18;69;90;136;1023;180;4735;18296;331;0.763;0.731;0.856;0.71;-53.03629667;-27.92382585;372.98;154;193;60.44;;;2527;Rural Adjacente;21.26;36741.72;31255.6;16660.14;105920.01;8.63;114552.41;2507;45693.02;Construção;14176433;108;0;0;14;0;0;4;41;16;9;1;0;0;2;6;5;4;1;1;4;0;0;;;0;1;0;1;0;69158661;994;383;3;;;;1
Barra Longa;MG;0;6143;6143;0;1943;756;1187;2304;19;84;132;162;1483;424;398;2891;3629;0.624;0.613;0.823;0.482;-43.03719671;-20.2836359;418.51;457;208;383.63;Serras De Minas;E;5250;Rural Adjacente;11535.43;3842.75;19263.18;23832.27;58473.63;10398.87;68872.5;5710;12061.73;Administração, defesa, educação e saúde públicas e seguridade social;;64;0;1;4;0;0;3;31;0;1;0;0;0;2;0;2;6;0;0;14;0;0;;;;;;;;;862;864;0;;;;2
Barra Mansa;RJ;0;177813;177722;91;56577;56081;496;175834;2136;8544;11694;14473;117547;21440;185;1143;1063;0.73;0.72;0.819;0.657;-44.17243137;-22.54530113;391.82;12155;31918;547.13;Vale Do Café;C;183976;Urbano;51136.98;783665.5;2305226.63;1158.8;4298824.27;446857.75;4745.68;180126;26346.46;Demais serviços;345488386;4066;20;7;275;0;14;148;1710;256;302;73;36;60;202;368;6;139;157;49;244;0;0;1;224;9;3;3;2;1544203119;1150103200;51054;9553;27;;;;6
Barra Velha;SC;0;22386;22345;41;7102;6790;312;12750;172;684;859;1091;8083;1861;1780;20954;837;0.738;0.735;0.857;0.639;-48.68386427;-26.63436141;24.39;3356;6215;139.15;Caminho Dos Príncipes;C;28463;Urbano;21596.89;156698.72;821602.91;119141.65;1119040.17;180322.89;1299363.06;27080;47982.39;Comércio e reparação de veículos automotores e motocicletas;68954018;1047;5;3;112;0;6;65;422;54;96;9;8;46;36;78;5;25;18;17;42;0;0;2;124;1;2;1;2;86360513;459824233;11189;4728;7;;1;;1
Barracão;PR;0;9735;9702;33;2936;2160;776;6974;79;356;529;669;4538;803;6200;24480;1746;0.706;0.716;0.833;0.59;-53.63500027;-26.25260284;820.37;103;778;171.40;Vales Do Iguaçu;D;10238;Intermediário Adjacente;32.84;16339.22;130.73;42117.32;222031.01;29956.84;251987.85;10273;24529.14;Demais serviços;27662518;439;3;0;32;0;0;13;214;51;28;11;5;2;20;13;2;10;15;5;15;0;0;;;1;0;1;0;38110399;0;4892;1197;1;;;;2
Barracão;RS;0;5357;5357;0;1813;1058;755;3030;32;142;207;266;1904;479;27950;102436;1603;0.71;0.711;0.885;0.568;-51.46015146;-27.68022987;744.18;57;240;515.47;;;5295;Rural Adjacente;113206.17;11193.34;50208.63;27900;202508.14;8120.83;210628.96;5479;38442.96;Agricultura, inclusive apoio à agricultura e a pós colheita;17976293;151;4;0;17;1;0;1;64;2;7;0;0;0;7;2;1;9;3;6;27;0;0;;;0;1;0;1;0;35124101;2085;292;1;;;;1
Barras;PI;0;44850;44837;13;11332;5765;5567;22070;364;1503;2023;2135;13588;2457;8786;12143;4264;0.595;0.558;0.779;0.485;-42.29533986;-4.243093354;87.44;1262;487;1,722.51;Polo Das Águas;D;46941;Rural Adjacente;23.45;14599.41;115852.49;172120.03;326022.83;21248.72;347271.55;46189;7518.49;Administração, defesa, educação e saúde públicas e seguridade social;;437;7;0;29;0;2;14;277;6;12;5;1;1;5;13;2;16;12;3;32;0;0;;;1;2;1;2;40161527;196029190;1769;9545;0;;;;1
Barreira;CE;0;19573;19573;0;5545;2363;3182;8108;115;492;645;920;5092;844;12011;15595;3781;0.616;0.551;0.771;0.551;-38.63850183;-4.288762267;126.25;851;209;245.81;;;22362;Rural Adjacente;14910.1;7.51;45.76;69480.11;137659.24;7.47;145126.22;20835;6965.5;Administração, defesa, educação e saúde públicas e seguridade social;41776363;212;1;2;36;0;0;3;128;4;3;0;0;0;3;4;2;3;3;3;17;0;0;;;;;;;;;2132;3772;0;;;;5
Barreiras;BA;0;137427;137381;46;38674;34945;3729;123286;2085;8402;10748;11716;82892;7443;246696;977905;1292;0.721;0.695;0.807;0.668;-45.00416844;-12.14492489;442;4575;9760;7,859.72;Caminhos Do Oeste;B;153831;Urbano;447;385.02;1716731.98;497493.09;3046.25;312389.83;3358.64;155519;21596.35;Demais serviços;;3603;70;4;245;0;9;183;1702;138;203;64;24;47;171;242;5;103;178;52;163;0;0;;;6;6;4;3;8792710729;92296751085;29015;31539;6;1;;;2
Barreiras Do Piauí;PI;0;3234;3234;0;796;482;314;1875;29;114;205;200;1120;207;470;512;5109;0.557;0.56;0.73;0.423;-45.47778771;-9.921246827;404.97;23;54;2,028.30;;;3344;Rural Remoto;3452.48;0.89;4145.06;14.38;22867.93;818.09;23686.02;3291;7197.21;Administração, defesa, educação e saúde públicas e seguridade social;;16;0;0;1;0;0;0;13;0;0;0;0;0;0;0;2;0;0;0;0;0;0;;;;;;;;;53;178;0;;;;1
Barreirinha;AM;0;27355;27355;0;4448;2285;2163;11688;254;1251;1574;1666;6203;740;317;2393;4785;0.574;0.469;0.774;0.522;-57.06775049;-2.798149837;11.23;1152;63;5,751.77;;;31593;Rural Remoto;50.55;6629.24;35.51;122315.77;215000.35;4594.88;219595.23;31105;7059.8;Administração, defesa, educação e saúde públicas e seguridade social;;155;0;0;5;0;1;1;94;2;1;0;1;0;0;2;2;34;1;0;11;0;0;;;1;0;1;0;16759432;0;10;546;0;;;;3
Barreirinhas;MA;0;54930;54930;0;12242;5323;6919;21952;486;1949;2407;2386;13287;1437;9660;18405;4849;0.57;0.515;0.752;0.479;-42.82780251;-2.750085949;5.04;2469;500;3,047.05;Polo Lençóis Maranhenses;C;61828;Rural Remoto;61902.39;22530.79;168529.31;171164.01;424126.51;24746.29;448872.79;61621;7284.41;Administração, defesa, educação e saúde públicas e seguridade social;;390;1;0;8;0;2;8;221;10;56;1;1;0;2;33;2;8;5;4;28;0;0;14;1372;1;3;1;3;20422203;179817728;673;5432;0;;;;1
Barreiros;PE;0;40732;40732;0;10663;9037;1626;32045;500;2168;3048;3298;19892;3139;3612;19680;4511;0.586;0.561;0.73;0.491;-35.19908599;-8.81413799;22.09;3415;2103;233.43;Histórica, Dos Arrecifes E Manguezais;D;42552;Urbano;25254.86;19.1;170257.74;167065.23;381677.74;29194.54;410872.28;42331;9706.18;Administração, defesa, educação e saúde públicas e seguridade social;70784964;440;3;1;26;0;0;12;274;15;24;4;2;1;10;9;5;9;9;8;28;0;0;;;2;2;2;2;132234601;350392335;3543;4118;0;;;;1
Barretos;SP;0;112101;111880;221;36188;35028;1160;108225;1360;5203;6831;7867;72169;14795;83524;519141;73;0.789;0.762;0.875;0.738;-48.56737784;-20.55845552;537.66;6727;24562;1,566.16;Águas Sertanejas;B;121344;Urbano;219320.78;1231114.36;2186353.4;472943.75;4109732.3;309423.08;4419155.37;119948;36842.26;Demais serviços;445083157;3653;129;0;175;0;15;160;1613;209;307;46;44;48;138;177;4;113;235;58;182;0;0;5;466;10;4;4;2;1871242016;2075947562;47321;30850;8;;1;;4
Barrinha;SP;0;28496;28496;0;8428;8327;101;28127;465;1829;2315;2562;18853;2103;11056;63692;1183;0.725;0.711;0.829;0.646;-48.16281352;-21.1917435;512.97;2302;3401;146.03;Caminhos Da Mogiana;D;32434;Urbano;26212.08;98710.3;216131.62;110417.42;451471.42;28.07;479540.04;31579;15185.41;Demais serviços;65791769;563;6;1;23;0;1;93;288;30;42;1;1;1;7;17;2;21;11;4;14;0;0;;;2;2;2;2;154285430;146252729;8324;3770;34;;;;1
Barro;CE;0;21514;21514;0;6110;3835;2275;13130;195;786;1011;1288;7998;1852;3407;4823;4188;0.599;0.556;0.758;0.51;-38.77988065;-7.168208727;357.39;46;104;711.89;;;22593;Rural Adjacente;13890.95;9938.37;55746.95;67748.77;147325.03;8557.8;155882.84;22361;6971.19;Administração, defesa, educação e saúde públicas e seguridade social;;143;0;0;3;0;0;5;89;3;7;4;0;0;7;3;2;5;3;3;9;0;0;;;0;1;0;1;0;38084829;1480;2823;0;;;;1
Barro Alto;GO;0;8716;8712;4;2519;1736;783;6170;89;367;551;594;4076;493;12545;60480;720;0.742;0.701;0.854;0.682;-48.91570708;-14.9737086;596.58;165;356;1,093.25;;;10922;Rural Adjacente;40.8;470051.24;157749.91;52139.88;720743.57;74226.52;794.97;10235;77671.72;Indústrias de transformação;;180;9;3;8;0;1;9;94;14;18;1;0;2;3;3;2;4;2;2;5;0;0;;;1;0;1;0;37899876;0;2186;1035;0;;;;2
Barro Alto;BA;0;13612;13612;0;3992;1979;2013;6703;122;428;639;645;4063;806;6440;10334;3984;0.607;0.551;0.739;0.55;-41.91209606;-11.76106392;701.39;176;104;414.51;;;14802;Rural Adjacente;8.75;3748.56;22488.98;44;78.98;3.4;82381.87;15093;5458.28;Administração, defesa, educação e saúde públicas e seguridade social;;125;0;0;0;0;0;0;61;1;0;0;0;0;1;1;2;13;1;0;45;0;0;;;;;;;;;876;818;0;;;;1
Barro Duro;PI;0;6607;6607;0;1848;1383;465;4771;79;309;395;471;2898;619;1501;4209;3882;0.612;0.611;0.729;0.514;-42.51337782;-5.812359708;198.82;139;63;159.43;;;7038;Rural Adjacente;6984.53;4284.1;14502.8;27185.15;52956.57;3551.84;56508.42;6930;8154.17;Administração, defesa, educação e saúde públicas e seguridade social;15089896;49;0;0;0;0;0;6;33;0;1;0;0;0;1;2;2;2;0;0;2;0;0;;;;;;;;;396;1656;1;;;;1
Barro Preto;BA;0;6453;6453;0;1957;1604;353;5293;61;294;384;531;3311;712;7889;19713;4120;0.602;0.576;0.744;0.508;-39.47333467;-14.80975439;146.38;312;278;201.59;;;5743;Rural Adjacente;16259.4;2546.59;14697.75;24444.27;57948.01;2191.28;60139.29;6367;9445.47;Administração, defesa, educação e saúde públicas e seguridade social;;33;1;0;0;0;0;0;21;0;0;0;0;0;0;2;2;0;2;0;5;0;0;;;;;;;;;275;197;0;;;;1
Barrocas;BA;0;14191;14191;0;3880;1615;2265;5683;99;362;487;511;3718;506;2603;1619;3920;0.61;0.574;0.786;0.503;-39.07866888;-11.52911285;379.55;27;122;207.30;;;15846;Rural Adjacente;11901.11;120228.22;53735.49;49.55;235419.28;15449.88;250869.16;16167;15517.36;Indústrias extrativas;;104;0;0;2;0;1;12;67;6;1;0;0;0;1;6;2;1;1;0;4;0;0;;;;;;;;;1830;2406;0;;;;1
Barrolândia;TO;0;5349;5349;0;1574;1313;261;4390;60;286;417;452;2692;483;505;4053;3269;0.642;0.6;0.817;0.541;-48.73146059;-9.831653365;346.97;76;260;713.30;;;5614;Intermediário Adjacente;14334.22;3142.76;17986.52;31482.42;66.95;4.77;71715.33;5622;12756.2;Administração, defesa, educação e saúde públicas e seguridade social;13984422;48;1;2;2;0;0;4;26;0;4;0;0;0;1;2;3;0;2;0;1;0;0;;;;;;;;;451;980;0;;;;1
Barroquinha;CE;0;14476;14472;4;3707;2600;1107;9729;139;597;923;1123;5809;1138;2421;1899;4834;0.57;0.512;0.72;0.505;-41.13948154;-3.009116746;18.42;484;102;384.90;Litoral Extremo Oeste;D;14989;Rural Adjacente;13348.87;6748.93;23.8;49537.23;93.43;3298.35;96733.29;14854;6512.27;Administração, defesa, educação e saúde públicas e seguridade social;30016504;187;2;3;6;0;0;2;121;1;4;3;0;0;4;6;2;18;0;0;15;0;0;;;;;;;;;433;2107;0;;;;3
Barros Cassal;RS;0;11133;11133;0;3593;1208;2385;3469;42;186;262;329;2121;529;15133;111213;3130;0.65;0.69;0.795;0.5;-52.58775212;-29.08770436;633.39;180;350;648.90;Alto Da Serra Do Botucaraí;D;11216;Rural Adjacente;76208.43;7.28;45747.26;47.72;176953.75;7.34;184295.8;11484;16048.05;Agricultura, inclusive apoio à agricultura e a pós colheita;25004112;266;0;0;15;0;0;8;154;25;16;2;0;0;5;1;3;9;4;5;19;0;0;;;0;2;0;2;0;101570748;3153;1467;17;;;;1
Barroso;MG;0;19599;19599;0;6071;5878;193;18874;235;995;1414;1583;12440;2207;112;475;933;0.73;0.675;0.864;0.678;-43.97538112;-21.176287;924.63;460;1343;82.07;Trilha Dos Inconfidentes;D;20720;Urbano;2870.72;64013.34;125541.07;83838.8;276.26;37654.89;313918.82;20790;15099.51;Demais serviços;40677406;531;1;8;52;0;1;15;252;33;31;2;1;0;11;17;2;23;17;12;53;0;0;;;2;1;2;1;217711727;31767190;5718;2598;1;;;;1
Barueri;SP;0;240749;239837;912;71821;71821;;235508;3621;13818;18217;21665;161351;16836;0;0;91;0.79;0.791;0.866;0.708;-46.87465289;-23.508902;741.57;57271;191288;65.70;Negócios E Cultura;C;271306;Urbano;315.72;4212.89;28113200.81;1747221.73;34073626.94;13014674.64;47088301.58;264935;177735.3;Demais serviços;2005218096;12513;14;7;711;9;34;713;3432;661;816;859;820;516;1222;1469;4;322;303;129;472;0;0;;;49;14;11;2;84219450730;6677655640;110360;27564;99;;7;1;7
Bastos;SP;0;20445;20321;124;6356;5537;819;17595;233;884;1224;1392;11536;2326;3040;15054;546;0.75;0.696;0.848;0.718;-50.73487086;-21.92103747;453.6;1280;3406;170.91;;;20954;Urbano;404647.56;63.41;239428.98;79257.36;786.75;35683.91;822429.29;21070;39033.19;Pecuária, inclusive apoio à pecuária;47614929;642;59;0;31;0;0;12;315;59;41;10;7;4;18;20;3;10;19;9;25;0;0;;;3;2;2;2;463821779;316057940;8330;4292;0;;;;1
Bataguassu;MS;0;19839;19812;27;6278;4786;1492;15091;257;1032;1266;1276;10077;1183;10177;33243;1595;0.71;0.698;0.847;0.606;-52.4254366;-21.71528844;336.04;754;2515;2,417.60;Costa Leste;C;22717;Urbano;60.47;249715.75;238063.4;124010.92;672258.15;74;746254.8;22084;33791.65;Indústrias de transformação;69115098;539;12;0;43;0;5;16;237;64;29;8;3;8;23;22;2;11;23;5;28;0;0;1;92;1;2;1;2;77976874;269448834;6890;2797;4;;;;2
